seq_id	subject	sample	primer_set	pcr_rep	clone	seq_rep	suspect	archive
2481778.M13REV	U034	3	luton	1	G02	1	True	2015-05-13_mcrA-clones
2481779.M13REV	U034	3	luton	1	G03	1	False	2015-05-13_mcrA-clones
2481780.M13REV	U034	3	luton	1	G04	1	False	2015-05-13_mcrA-clones
2481781.M13REV	U034	3	luton	1	G05	1	False	2015-05-13_mcrA-clones
2481782.M13REV	U034	3	luton	1	G06	1	False	2015-05-13_mcrA-clones
2481783.M13REV	U003	2	luton	1	C02	2	False	2015-05-13_mcrA-clones
2493900.M13REV	U011	1	luton	1	A01	1	False	2015-06-09_mcrA-clones
2493901.M13REV	U011	1	luton	1	A02	1	False	2015-06-09_mcrA-clones
2493902.M13REV	U011	1	luton	1	A03	1	False	2015-06-09_mcrA-clones
2493903.M13REV	U011	1	luton	1	A04	1	False	2015-06-09_mcrA-clones
2493904.M13REV	U011	1	luton	1	A05	1	False	2015-06-09_mcrA-clones
2493905.M13REV	U011	1	luton	1	B01	1	False	2015-06-09_mcrA-clones
2493906.M13REV	U011	1	luton	1	B02	1	False	2015-06-09_mcrA-clones
2493907.M13REV	U011	1	luton	1	B03	1	False	2015-06-09_mcrA-clones
2493908.M13REV	U011	1	luton	1	B04	1	False	2015-06-09_mcrA-clones
2493909.M13REV	U011	1	luton	1	B05	1	False	2015-06-09_mcrA-clones
2493910.M13REV	U011	1	luton	1	C01	1	False	2015-06-09_mcrA-clones
2493911.M13REV	U011	1	luton	1	C03	1	False	2015-06-09_mcrA-clones
2493912.M13REV	U011	1	luton	1	D01	1	False	2015-06-09_mcrA-clones
2493913.M13REV	U011	1	luton	1	D05	1	False	2015-06-09_mcrA-clones
2493914.M13REV	U030	1	luton	1	E01	1	False	2015-06-09_mcrA-clones
2493915.M13REV	U030	1	luton	1	E02	1	False	2015-06-09_mcrA-clones
2493916.M13REV	U030	1	luton	1	E03	1	False	2015-06-09_mcrA-clones
2493917.M13REV	U030	1	luton	1	E04	1	False	2015-06-09_mcrA-clones
2493918.M13REV	U030	1	luton	1	E05	1	False	2015-06-09_mcrA-clones
2493919.M13REV	U030	1	luton	1	F01	1	False	2015-06-09_mcrA-clones
2493920.M13REV	U030	1	luton	1	F04	1	False	2015-06-09_mcrA-clones
2493922.M13REV	U030	1	luton	1	G01	1	False	2015-06-09_mcrA-clones
2493922.M13REVb	U030	1	luton	1	G01	2	False	2015-06-09_mcrA-clones
2493923.M13REV	U030	1	luton	1	G02	1	False	2015-06-09_mcrA-clones
2493924.M13REV	U030	1	luton	1	G03	1	False	2015-06-09_mcrA-clones
2493925.M13REV	U030	1	luton	1	G04	1	False	2015-06-09_mcrA-clones
2493926.M13REV	U030	1	luton	1	G05	1	False	2015-06-09_mcrA-clones
2493927.M13REV	U030	1	luton	1	H01	1	False	2015-06-09_mcrA-clones
2493928.M13REV	U030	1	luton	1	H02	1	False	2015-06-09_mcrA-clones
2493929.M13REV	U030	1	luton	1	H03	1	False	2015-06-09_mcrA-clones
2493930.M13REV	U030	1	luton	1	H04	1	False	2015-06-09_mcrA-clones
2493931.M13REV	U030	1	luton	1	H05	1	False	2015-06-09_mcrA-clones
